Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-9544	Single-cell RNAseq of phenotypically defined human B cell subsets	RNA-seq of coding RNA from single cells	Homo sapiens	5	2020-09-14	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9544/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9544/
E-MTAB-8737	Charting the age-altered thymic epithelial cell differentiation by lineage tracing from a beta 5-t expressing TEC progenitor	RNA-seq of coding RNA from single cells	Mus musculus	36	2020-09-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8737/
E-MTAB-8560	Single-cell RNA-sequencing of mouse thymic epithelial cells across the first year of life	RNA-seq of coding RNA from single cells	Mus musculus	11682	2020-09-14	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8560/
E-MTAB-9492	10x single cell gene expression and V(D)J immune profiling of T cells from the blood, synovial fluid and synovial tissue in psoriatic arthritis patients	RNA-seq of coding RNA from single cells	Homo sapiens	40	2020-09-07	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9492/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9492/
E-MTAB-8906	Type I interferon signaling in fibroblastic reticular cells prevents exhaustive activation of antiviral CD8+ T cells	RNA-seq of coding RNA from single cells	Mus musculus	8	2020-09-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8906/
E-MTAB-8530	Liquid Biopsy-Based Single-Cell Transcriptome Profiling Characterizes Heterogeneity of Disseminated Tumor Cells from Lung Adenocarcinoma	RNA-seq of coding RNA from single cells	Homo sapiens	4	2020-09-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8530/
E-MTAB-9473	Single-cell transcriptome of cerebral organoids with and without methanol fixation	RNA-seq of coding RNA from single cells	Homo sapiens	2	2020-08-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9473/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9473/
E-MTAB-9444	Single cell transcriptional profile of third instar larval wing discs in Drosophila	RNA-seq of coding RNA from single cells	Drosophila melanogaster	11	2020-08-31	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-9444/processed/	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9444/
E-MTAB-8812	Single-cell RNAseq of additional control chimeric mouse embryos at embryonic day 8.5 of mouse development	RNA-seq of coding RNA from single cells	Mus musculus	80	2020-08-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8812/
E-MTAB-8811	Single-cell RNAseq of Brachyury knockout chimeric mouse embryos at embryonic days 8.5 and 7.5 of mouse development	RNA-seq of coding RNA from single cells	Mus musculus	224	2020-08-31	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-8811/
