id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE157653	Mus musculus	TAR	no	no	no	no	2020	Sep	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157653//suppl/filelist.txt
GSE157644	Mus musculus	CSV, LOOM	no	no	no	no	2020	Sep	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157644//suppl/filelist.txt
GSE157641	Mus musculus	CSV	no	error_parse	no	no	2020	Sep	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157641//suppl/filelist.txt
GSE157624	Mus musculus	TSV	no	no	no	no	2020	Sep	08	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157624//suppl/filelist.txt
GSE157592	Mus musculus	TSV, TXT	no	error_parse	no	no	NA	NA	NA	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157592//suppl/filelist.txt
GSE157591	Homo sapiens	CSV	no	error_parse	no	no	2020	Sep	07	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157591//suppl/filelist.txt
GSE156473	Homo sapiens	TSV	no	no	no	no	2020	Aug	19	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156473//suppl/filelist.txt
GSE153569	Mus musculus	MTX, TSV	no	no	no	no	2020	Jun	30	JCI Insight	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153569//suppl/filelist.txt
GSE153568	Mus musculus	MTX, TSV	no	no	no	no	2020	Jun	30	JCI Insight	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153568//suppl/filelist.txt
GSE153370	Homo sapiens	MTX, TSV	no	yes	no	yes	2020	Jun	26	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153370//suppl/filelist.txt
GSE152866	Mus musculus	CSV, TAR	no	no	no	no	2020	Jun	19	Cancers (Basel)	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152866//suppl/filelist.txt
GSE150305	Homo sapiens	none	no	no	no	no	2020	May	11	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150305//suppl/filelist.txt
GSE149452	Mus musculus	H5	no	error_parse	no	no	2020	Apr	27	Circ. Res.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149452//suppl/filelist.txt
GSE144637	Mus musculus	MTX, TSV	no	no	no	no	2020	Jan	31	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144637//suppl/filelist.txt
GSE144420	Mus musculus	MTX, TSV	no	no	no	no	2020	Jan	28	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144420//suppl/filelist.txt
GSE143255	Mus musculus	BW, MTX, TSV	no	no	no	no	2020	Jan	07	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143255//suppl/filelist.txt
GSE142754	Mus musculus	MTX, TSV	no	no	no	no	2019	Dec	30	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE142nnn/GSE142754//suppl/filelist.txt
GSE141895	Mus musculus	TAR	no	no	no	no	2019	Dec	12	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141895//suppl/filelist.txt
GSE140968	Mus musculus	H5	no	no	no	no	2019	Nov	25	Circ. Res.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140968//suppl/filelist.txt
GSE140812	Mus musculus	H5	no	no	no	no	2019	Nov	21	Circ. Res.	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140812//suppl/filelist.txt
GSE128464	Mus musculus	CSV, MTX, TSV	yes	error_parse	no	yes	2019	Mar	18	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128464//suppl/filelist.txt
GSE155449	Danio rerio; Homo sapiens	BW	no	no	no	no	2020	Jul	30	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155449//suppl/filelist.txt
GSE150263	Homo sapiens	H5	no	no	no	no	2020	May	11	Cell Stem Cell	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150263//suppl/filelist.txt
GSE157542	Mus musculus	TXT	no	error_parse	no	no	2020	Sep	05	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157542//suppl/filelist.txt
GSE157518	Homo sapiens; Mus musculus	TXT	no	no	no	no	2020	Sep	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157518//suppl/filelist.txt
GSE157507	blank sample; Mus musculus	TXT	no	error_parse	no	no	2020	Sep	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157507//suppl/filelist.txt
GSE157501	Mus musculus	CSV, LOOM	no	no	no	no	2020	Sep	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157501//suppl/filelist.txt
GSE157410	Mus musculus	CLOUPE	no	error_parse	no	no	2020	Sep	03	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157410//suppl/filelist.txt
GSE154692	Mus musculus	TXT	yes	error_parse	no	yes	2020	Jul	19	Circulation	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154692//suppl/filelist.txt
GSE150425	Mus musculus	CSV	no	error_parse	no	no	2020	May	12	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150425//suppl/filelist.txt
GSE149909	Mus musculus	MTX, TSV	no	no	no	no	2020	May	05	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149909//suppl/filelist.txt
GSE149813	Mus musculus	MTX, TSV	no	no	no	no	2020	May	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149813//suppl/filelist.txt
GSE149512	Homo sapiens	CSV	no	no	no	no	2020	Apr	28	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149512//suppl/filelist.txt
GSE147415	Mus musculus	MTX, TSV	no	no	no	no	2020	Mar	23	Elife	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147415//suppl/filelist.txt
GSE137908	Mus musculus	TSV	no	no	no	no	2019	Sep	24	Development	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137908//suppl/filelist.txt
GSE157362	Mus musculus	MTX, TSV	no	no	no	no	2020	Sep	02	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157362//suppl/filelist.txt
GSE153339	Mus musculus	MTX, TSV	no	no	no	no	2020	Jun	26	Blood	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153339//suppl/filelist.txt
GSE147893	Homo sapiens	TSV	no	error_parse	no	no	2020	Apr	01	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147893//suppl/filelist.txt
GSE157292	Mus musculus	MTX, TSV	no	no	no	no	2020	Sep	01	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157292//suppl/filelist.txt
GSE157280	Homo sapiens	TSV	no	error_parse	no	no	2020	Sep	01	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157280//suppl/filelist.txt
GSE157277	Homo sapiens	CSV	no	no	no	no	2020	Sep	01	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157277//suppl/filelist.txt
GSE137864	Homo sapiens	MTX, TSV	no	error_parse	no	no	2019	Sep	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137864//suppl/filelist.txt
GSE135779	Homo sapiens	MTX, TSV	no	error_parse	no	no	2019	Aug	13	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135779//suppl/filelist.txt
GSE157220	Homo sapiens	TXT, XLSX	no	error_parse	no	no	2020	Aug	31	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157220//suppl/filelist.txt
GSE157157	Homo sapiens	MTX, TSV	no	no	no	no	2020	Aug	31	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157157//suppl/filelist.txt
GSE154973	Mus musculus	H5	no	no	no	no	2020	Jul	23	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154973//suppl/filelist.txt
GSE154579	Mus musculus	MTX, TSV	no	no	no	no	2020	Jul	16	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE154nnn/GSE154579//suppl/filelist.txt
