id	org	files	has_meta	has_r	usable
GSE157591	Homo sapiens	CSV	no	no	no
GSE156473	Homo sapiens	TSV	no	no	no
GSE153370	Homo sapiens	MTX, TSV	no	no	no
GSE150305	Homo sapiens	none	no	no	no
GSE155449	Danio rerio; Homo sapiens	BW	no	no	no
GSE157518	Homo sapiens; Mus musculus	TXT	no	no	no
GSE149512	Homo sapiens	CSV	no	no	no
GSE147893	Homo sapiens	TSV	no	no	no
GSE157280	Homo sapiens	TSV	no	no	no
GSE157277	Homo sapiens	CSV	no	no	no
GSE137864	Homo sapiens	MTX, TSV	no	no	no
GSE135779	Homo sapiens	MTX, TSV	no	no	no
GSE157220	Homo sapiens	TXT, XLSX	no	no	no
GSE157157	Homo sapiens	MTX, TSV	no	no	no
GSE152014	Homo sapiens	TAR	no	no	no
GSE140440	Homo sapiens	TXT	no	no	no
GSE138835	Homo sapiens	MTX, TSV	no	no	no
GSE137829	Homo sapiens	TXT	no	no	no
GSE112302	Homo sapiens	TXT, XLSX	no	no	no
GSE147322	Homo sapiens	TSV	no	no	no
GSE139534	Homo sapiens	H5	no	no	no
GSE133028	Homo sapiens	TXT	no	no	no
GSE157019	Homo sapiens	MTX, TSV	no	no	no
GSE156988	Homo sapiens; Mus musculus	TXT	no	no	no
GSE136610	Homo sapiens	TXT	no	no	no
GSE124885	Homo sapiens	CSV	no	no	no
GSE156790	Homo sapiens	TXT	no	no	no
GSE156776	Homo sapiens	MTX, TSV, TXT	no	no	no
GSE156735	Homo sapiens	BROADPEAK	no	no	no
GSE156734	Homo sapiens	BED, CSV	no	no	no
GSE151117	Homo sapiens	MTX, TSV	no	no	no
GSE148963	Homo sapiens	MTX, TSV	no	no	no
GSE139495	Homo sapiens	TSV	yes	no	yes
GSE120046	Homo sapiens	TXT	no	no	no
GSE145830	Homo sapiens; Mus musculus	CSV	no	no	no
GSE134311	Homo sapiens; Mus musculus; synthetic construct	BED, CSV, GTF, MTX, TSV, TXT	no	no	no
GSE153463	Homo sapiens	TXT	no	no	no
GSE153489	Homo sapiens; Mus musculus	CEL, CHP, RCC	no	no	no
GSE130000	Homo sapiens	TXT	no	no	no
GSE156471	Homo sapiens	TSV, TXT	no	no	no
GSE131696	Homo sapiens	CSV	no	no	no
GSE156341	Homo sapiens	MTX, TSV	no	no	no
GSE156340	Homo sapiens	TXT	no	no	no
GSE138979	Homo sapiens	H5, TXT	no	no	no
GSE135357	Homo sapiens	BEDPE, MTX, TSV, TXT	no	no	no
GSE135356	Homo sapiens	MTX, TSV	no	no	no
GSE122460	Homo sapiens	CSV, TXT	no	no	no
GSE118258	Homo sapiens	CSV, TXT	no	no	no
GSE106251	Homo sapiens	TXT	no	no	no
