id	org	files	has_meta	has_r	usable
GSE157653	Mus musculus	TAR	no	no	no
GSE157641	Mus musculus	CSV	no	no	no
GSE157624	Mus musculus	TSV	no	no	no
GSE153569	Mus musculus	MTX, TSV	no	no	no
GSE153568	Mus musculus	MTX, TSV	no	no	no
GSE152866	Mus musculus	CSV, TAR	no	no	no
GSE149452	Mus musculus	H5	no	no	no
GSE144637	Mus musculus	MTX, TSV	no	no	no
GSE144420	Mus musculus	MTX, TSV	no	no	no
GSE143255	Mus musculus	BW, MTX, TSV	no	no	no
GSE142754	Mus musculus	MTX, TSV	no	no	no
GSE141895	Mus musculus	TAR	no	no	no
GSE140968	Mus musculus	H5	no	no	no
GSE140812	Mus musculus	H5	no	no	no
GSE128464	Mus musculus	CSV, MTX, TSV	yes	no	yes
GSE157542	Mus musculus	TXT	no	no	no
GSE157518	Homo sapiens; Mus musculus	TXT	no	no	no
GSE157507	blank sample; Mus musculus	TXT	no	no	no
GSE157410	Mus musculus	CLOUPE	no	no	no
GSE154692	Mus musculus	TXT	yes	no	yes
GSE150425	Mus musculus	CSV	no	no	no
GSE149909	Mus musculus	MTX, TSV	no	no	no
GSE149813	Mus musculus	MTX, TSV	no	no	no
GSE147415	Mus musculus	MTX, TSV	no	no	no
GSE137908	Mus musculus	TSV	no	no	no
GSE157362	Mus musculus	MTX, TSV	no	no	no
GSE153339	Mus musculus	MTX, TSV	no	no	no
GSE157292	Mus musculus	MTX, TSV	no	no	no
GSE154579	Mus musculus	MTX, TSV	no	no	no
GSE148339	Mus musculus	MTX, RDATA, TSV, TXT	no	yes	yes
GSE144090	Mus musculus	MTX, TSV	no	no	no
GSE157144	Mus musculus	TXT	no	no	no
GSE151285	Mus musculus	none	no	no	no
GSE151284	Mus musculus	CSV, XLSX	no	no	no
GSE150008	Mus musculus	TXT	no	no	no
GSE148316	Mus musculus	BIGWIG, CSV, MTX, TSV	yes	no	yes
GSE142274	Mus musculus	TAR	no	no	no
GSE157079	Mus musculus	BIGWIG, CSV, RDS, TXT	yes	yes	yes
GSE157072	Mus musculus	TXT	no	no	no
GSE156988	Homo sapiens; Mus musculus	TXT	no	no	no
GSE151229	Mus musculus	CSV, XLSX	no	no	no
GSE148866	Mus musculus	TXT	yes	no	yes
GSE137818	Mus musculus	CSV	no	no	no
GSE152841	Mus musculus	TXT	no	no	no
GSE145086	Mus musculus	MTX, TSV	no	no	no
GSE156700	Mus musculus	MTX, TSV	no	no	no
GSE156689	Mus musculus	XLSX	no	no	no
GSE152587	Mus musculus	TSV	no	no	no
GSE145830	Homo sapiens; Mus musculus	CSV	no	no	no
GSE145829	Mus musculus	CSV	no	no	no
GSE145828	Mus musculus	CSV	no	no	no
GSE145827	Mus musculus	CSV	no	no	no
GSE134311	Homo sapiens; Mus musculus; synthetic construct	BED, CSV, GTF, MTX, TSV, TXT	no	no	no
GSE139585	Mus musculus	XLSX	no	no	no
GSE139103	Mus musculus	TSV, TXT	no	no	no
GSE156234	Mus musculus	TSV	no	no	no
GSE156338	Mus musculus	CSV	no	no	no
GSE155340	Mus musculus	BW, MTX, TSV	no	no	no
GSE153489	Homo sapiens; Mus musculus	CEL, CHP, RCC	no	no	no
GSE153487	Mus musculus	MTX, TSV	no	no	no
GSE142523	Mus musculus	BW, MTX, TSV, TXT, XLS	no	no	no
GSE135096	Mus musculus	TXT	no	no	no
GSE150703	Mus musculus	TXT	no	no	no
GSE128762	Mus musculus	MTX, TSV	no	no	no
GSE128761	Mus musculus	MTX, TSV	no	no	no
GSE128759	Mus musculus	TXT	no	no	no
GSE151152	Mus musculus	H5	no	no	no
GSE151151	Mus musculus	TXT	no	no	no
GSE142047	Mus musculus	MTX, TSV	no	no	no
GSE156057	Mus musculus	H5	no	no	no
GSE156052	Mus musculus	TXT	no	no	no
GSE154047	Mus musculus	CLOUPE, MTX, TSV	no	no	no
GSE144271	Mus musculus	MTX, TSV	no	no	no
GSE135310	Mus musculus	H5, MTX, TSV, TXT	no	no	no
GSE140032	Mus musculus	MTX, TSV	no	no	no
GSE135880	Mus musculus	BED, FPKM_TRACKING, WIG	no	no	no
GSE143545	Mus musculus	BW, TSV, TXT	no	no	no
GSE156210	Mus musculus	TXT	no	no	no
GSE147559	Mus musculus	TXT	no	no	no
GSE156136	Mus musculus	MTX, TSV	no	no	no
GSE156135	Mus musculus	MTX, TSV	no	no	no
GSE151710	Mus musculus	H5, TSV	yes	no	yes
GSE146043	Mus musculus	MTX, TSV, TXT	no	no	no
GSE145243	Mus musculus	TXT	no	no	no
GSE145242	Mus musculus	TXT	no	no	no
GSE145241	Mus musculus	MTX, RDS, TSV	no	yes	yes
GSE152022	Mus musculus	CSV, MTX, TSV	no	no	no
GSE150877	Mus musculus; Homo sapiens	TAR, TXT	no	no	no
GSE150876	Mus musculus; Homo sapiens	TAR	no	no	no
GSE150872	Mus musculus	TXT	yes	no	yes
GSE137236	Mus musculus	CSV	yes	no	yes
GSE152555	Mus musculus	MTX, TSV	no	no	no
GSE150235	Mus musculus	TSV	no	no	no
GSE144273	Mus musculus	MTX, TSV	no	no	no
GSE143813	Mus musculus	TXT	no	no	no
GSE145095	Mus musculus; Homo sapiens	CSV, MTX, TSV	no	no	no
GSE134388	Homo sapiens; Mus musculus	BB, MTX, TSV, TXT, XLSX	no	no	no
GSE123366	Mus musculus	MTX, TSV	no	no	no
GSE132355	Mus musculus	CSV, MTX, RDS, TSV, TXT	no	yes	yes
GSE155886	Homo sapiens; Mus musculus	TSV	no	no	no
GSE150383	Mus musculus	MTX, TSV	no	no	no
GSE155814	Mus musculus	TAR	no	no	no
GSE155794	Mus musculus	TAR	no	no	no
GSE140890	Mus musculus	TXT	no	no	no
GSE155678	Mus musculus	BED, MTX, TSV	no	no	no
GSE155602	Mus musculus	TXT	no	no	no
GSE155569	Mus musculus	MTX, TSV	no	no	no
GSE155275	Mus musculus	CSV	no	no	no
GSE141733	Mus musculus	CLOUPE	no	no	no
GSE141732	Mus musculus	CLOUPE	no	no	no
GSE108677	Mus musculus	MTX, TSV	no	no	no
GSE152018	Mus musculus	MTX, TSV	no	no	no
GSE145031	Mus musculus	MTX, TSV	no	no	no
GSE144468	Mus musculus	MTX, TSV	no	no	no
GSE152989	Mus musculus; Pogona vitticeps	TAB	no	no	no
GSE148505	Mus musculus	TXT	no	no	no
GSE153771	Mus musculus	MTX, TSV	no	no	no
GSE153770	Mus musculus	MTX, TSV	no	no	no
GSE149527	Mus musculus	CSV	no	no	no
GSE142797	Mus musculus	H5	no	no	no
GSE136441	Mus musculus	MTX, TSV	no	no	no
GSE135737	Mus musculus	H5	no	no	no
GSE118312	Mus musculus; Homo sapiens	TXT	no	no	no
GSE155499	Mus musculus	TAR	no	no	no
GSE141017	Mus musculus; Homo sapiens	CSV	no	no	no
GSE128738	Mus musculus	CSV	no	no	no
GSE121371	Mus musculus	CSV	no	no	no
GSE151346	Mus musculus	CSV, TSV	yes	no	yes
GSE148360	Mus musculus	CSV	no	no	no
GSE155261	Mus musculus	TSV	no	no	no
GSE142480	Mus musculus	CSV	no	no	no
GSE136752	Mus musculus	MTX, TSV	no	no	no
GSE155088	Mus musculus	CLOUPE, CSV	no	no	no
GSE155081	Mus musculus	TXT	no	no	no
GSE155079	Mus musculus	XLSX	no	no	no
GSE154654	Mus musculus	TXT	no	no	no
GSE148115	Mus musculus	MTX, TSV	no	no	no
GSE147525	Mus musculus	XLSX	no	no	no
GSE146988	Mus musculus	XLSX	no	no	no
GSE144038	Mus musculus	TXT	no	no	no
GSE133230	Mus musculus	TSV	no	no	no
GSE154989	Mus musculus	CSV, H5	no	no	no
GSE154978	Mus musculus	CSV, H5	no	no	no
GSE154977	Mus musculus	CSV, H5	no	no	no
GSE152607	Mus musculus	H5, TBI, TSV	no	no	no
GSE147262	Mus musculus	CSV, TAR	no	no	no
GSE132047	Mus musculus	CSV	no	no	no
GSE154921	Mus musculus	TXT	no	no	no
GSE150644	Mus musculus	NARROWPEAK, TXT	no	no	no
GSE154868	Mus musculus	CSV, GFF3	no	no	no
GSE154832	Mus musculus	XLSX	no	no	no
GSE154817	Mus musculus	MTX, TSV	no	no	no
GSE154659	Mus musculus	RDS	no	yes	yes
GSE145273	Mus musculus	TSV	no	no	no
GSE145177	Mus musculus	BED, TSV, TXT	no	no	no
GSE144923	Mus musculus	TSV, TXT	no	no	no
GSE144919	Mus musculus	TSV, TXT	no	no	no
GSE141038	Mus musculus	MTX, TSV	no	no	no
GSE132092	Mus musculus	CSV	no	no	no
GSE124488	Mus musculus	CSV, TXT	no	no	no
GSE124487	Mus musculus	CSV	no	no	no
GSE124471	Mus musculus	TXT	no	no	no
GSE154776	Mus musculus	TXT	no	no	no
GSE142168	Mus musculus; Homo sapiens	MTX, RDS, TSV	no	yes	yes
GSE141851	Mus musculus; Homo sapiens	TXT	no	no	no
GSE130896	Mus musculus	TXT	no	no	no
GSE154676	Mus musculus	TXT	no	no	no
GSE154614	Mus musculus	TXT	no	no	no
GSE154572	Mus musculus	TAB, TXT	yes	no	yes
GSE154468	Mus musculus	TAB, XLSX	no	no	no
GSE154442	Mus musculus	TAB	no	no	no
GSE154437	Mus musculus	TAB, ZIP	no	no	no
GSE153878	Mus musculus	TAB	no	no	no
GSE153362	Mus musculus	TAB, XLSX	no	no	no
GSE153356	Mus musculus	TAB	no	no	no
GSE152716	Mus musculus	TAB	no	no	no
GSE154406	Mus musculus	RDATA	no	yes	yes
GSE140822	Mus musculus	TSV	no	no	no
GSE125579	Mus musculus	MTX, TSV, TXT	yes	no	yes
GSE154304	Mus musculus	TXT	no	no	no
GSE154278	Mus musculus	MTX, TSV	no	no	no
GSE154259	Mus musculus	CSV, TXT	no	no	no
GSE152674	Mus musculus	TXT	no	no	no
GSE146912	Mus musculus	TXT	no	no	no
GSE154107	Mus musculus	CSV	no	no	no
GSE152281	Mus musculus	TAR	no	no	no
GSE151674	Mus musculus	MTX, TXT	yes	no	yes
GSE134365	Mus musculus	MTX, TSV	no	no	no
GSE130708	Mus musculus	MTX, TSV, TXT	no	no	no
GSE154014	Mus musculus	TXT	no	no	no
GSE134036	Mus musculus	TXT	no	no	no
GSE153929	Homo sapiens; Mus musculus	MTX, TSV	no	no	no
GSE152282	Mus musculus	MTX, TSV, TXT	no	no	no
GSE151830	Mus musculus	TSV	no	no	no
GSE151829	Mus musculus	TXT	no	no	no
GSE148859	Mus musculus	CSV, RDATA, TAR, TXT	no	yes	yes
GSE148178	Mus musculus	TXT	no	no	no
GSE153824	Mus musculus	H5	no	no	no
GSE151248	Mus musculus	none	no	no	no
GSE151247	Mus musculus	CSV, TXT	yes	no	yes
GSE151246	Mus musculus	CSV, TXT	yes	no	yes
GSE151245	Mus musculus	TXT	yes	no	yes
GSE151244	Mus musculus	TXT	yes	no	yes
GSE150923	Mus musculus	CSV, PNG	no	no	no
GSE134004	Mus musculus; Homo sapiens	MTX, TSV, TXT	no	no	no
GSE150219	Mus musculus	CSV	yes	no	yes
GSE140879	Mus musculus	H5	no	no	no
GSE135622	Mus musculus	MTX, TSV	no	no	no
GSE135621	Mus musculus	MTX, TSV	no	no	no
GSE135554	Mus musculus	MTX, TSV	no	no	no
GSE135512	Mus musculus	TXT	no	no	no
GSE135509	Mus musculus	TXT	no	no	no
GSE153627	Mus musculus	CSV	no	no	no
GSE153676	Mus musculus	CSV	no	no	no
GSE153675	Mus musculus	CSV, XLSX	no	no	no
GSE153596	Mus musculus	LOOM	no	no	no
GSE153551	Mus musculus	none	no	no	no
GSE153549	Mus musculus	CSV	yes	no	yes
GSE150768	Mus musculus; Homo sapiens	BW, TXT	yes	no	yes
GSE150713	Mus musculus	CSV, TXT	no	no	no
GSE150150	Mus musculus	CSV, DATA, LOOM, RDS, TXT	no	yes	yes
GSE143949	Mus musculus	MTX, TSV	no	no	no
GSE142500	Mus musculus	MTX, TSV	no	no	no
GSE134058	Mus musculus	CSV	no	no	no
GSE131498	Mus musculus	TXT	no	no	no
GSE129125	Mus musculus	TSV	no	no	no
GSE116482	Mus musculus	BW, TXT	no	no	no
GSE102929	Mus musculus	TXT	no	no	no
GSE153534	Homo sapiens; Mus musculus	CSV	no	no	no
GSE150995	Mus musculus	MTX, TSV	no	no	no
GSE132910	Mus musculus	H5	no	no	no
GSE128553	Mus musculus	TXT	no	no	no
GSE153424	Mus musculus; Escherichia coli	TAR, TSV	no	no	no
GSE151682	Mus musculus	TXT	no	no	no
GSE151630	Mus musculus	TXT	no	no	no
GSE149636	Mus musculus	TXT	no	no	no
GSE149635	Mus musculus	TXT, XLSX	yes	no	yes
GSE149634	Mus musculus	XLSX	no	no	no
GSE148805	Mus musculus	MTX, TSV, XLS	no	no	no
GSE146609	Mus musculus	MTX, TSV	no	no	no
GSE151137	Homo sapiens; Mus musculus	TXT	no	no	no
GSE109324	Mus musculus	TXT	no	no	no
GSE152370	Mus musculus	TSV	no	no	no
GSE152369	Mus musculus	TSV	no	no	no
GSE151985	Mus musculus	H5AD, TAR	no	no	no
GSE149335	Mus musculus	TSV, TXT	no	no	no
GSE145998	Mus musculus	TXT	no	no	no
GSE122393	Mus musculus	XLSX	no	no	no
GSE150921	Mus musculus	TXT	no	no	no
GSE149715	Mus musculus	CSV	no	no	no
GSE144384	Mus musculus	BW, H5	no	no	no
GSE144236	Homo sapiens; Mus musculus	TXT	yes	no	yes
GSE134918	Mus musculus	TXT	no	no	no
GSE152867	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE152806	Mus musculus	MTX, TSV	no	no	no
GSE132904	Mus musculus	XLS	no	no	no
GSE152715	Mus musculus	MTX, TSV	no	no	no
GSE150294	Mus musculus	none	no	no	no
GSE150289	Mus musculus	TXT	no	no	no
GSE149859	Mus musculus	TXT	no	no	no
GSE149656	Mus musculus	TXT	no	no	no
GSE149301	Mus musculus	TXT	no	no	no
GSE152632	Mus musculus	CSV	no	no	no
GSE135495	Mus musculus	TXT	no	no	no
GSE152467	Mus musculus	TXT	no	no	no
GSE138757	Mus musculus	TXT	no	no	no
GSE138756	Mus musculus	TXT, XLS	no	no	no
GSE138755	Mus musculus	TXT, XLS	no	no	no
GSE138754	Mus musculus	TXT, XLS	no	no	no
GSE138753	Mus musculus	TXT, XLS	no	no	no
GSE136689	Mus musculus	TXT	yes	no	yes
GSE151709	Mus musculus	CSV	no	no	no
GSE139999	Mus musculus	TXT	no	no	no
GSE132745	Mus musculus	TXT	no	no	no
GSE152387	Mus musculus	CSV, FASTA, TXT	no	no	no
GSE152222	Mus musculus	CSV	no	no	no
GSE152198	Mus musculus	MTX, TSV	no	no	no
GSE152125	Mus musculus	H5	no	no	no
GSE148268	Mus musculus	TXT	no	no	no
GSE142845	Mus musculus	CSV	no	no	no
GSE113417	Mus musculus	TXT	no	no	no
GSE149036	Mus musculus	MTX, TSV	no	no	no
GSE124560	Mus musculus	TXT	no	no	no
GSE113418	Homo sapiens; Mus musculus	none	no	no	no
GSE146235	Mus musculus	BW, MTX, TSV	no	no	no
GSE146233	Mus musculus	MTX, TSV	no	no	no
GSE142858	Mus musculus	TAR	no	no	no
GSE142853	Mus musculus	MTX, TSV	no	no	no
GSE134758	Mus musculus	CSV, MTX, TSV, TXT	yes	no	yes
GSE145866	Mus musculus	MTX, TSV	no	no	no
GSE151889	Homo sapiens; Mus musculus	MTX, TSV	no	no	no
GSE151811	Mus musculus	MTX, TSV	no	no	no
GSE142245	Mus musculus	MTX, TXT	yes	no	yes
GSE151723	Mus musculus	TXT	no	no	no
GSE144222	Mus musculus	H5, HTML, MTX, TSV, TXT	no	no	no
GSE136954	Mus musculus	BW, TXT	no	no	no
GSE132589	Mus musculus	TXT	no	no	no
GSE151658	Mus musculus	RDS, TAR	no	yes	yes
GSE134439	Mus musculus	CSV, RDA	no	yes	yes
GSE115299	Mus musculus	CSV	no	no	no
GSE115298	Mus musculus	CSV	no	no	no
GSE115297	Mus musculus	CSV	no	no	no
GSE151167	Mus musculus	MTX, TSV	no	no	no
GSE144769	Mus musculus	CLOUPE	no	no	no
GSE144678	Mus musculus	CLOUPE	no	no	no
GSE141634	Mus musculus	TSV	no	no	no
GSE136880	Mus musculus	H5, TSV, TXT	no	no	no
GSE151334	Homo sapiens; Mus musculus	TSV	no	no	no
GSE149247	Mus musculus	MTX, TSV	no	no	no
GSE148882	Mus musculus	TXT	no	no	no
GSE146510	Mus musculus	MTX, TSV	no	no	no
GSE145502	Mus musculus	MTX, TSV	no	no	no
GSE142546	Mus musculus	TSV	no	no	no
GSE132533	Mus musculus	MTX, TSV	no	no	no
GSE115765	Mus musculus	CSV, TXT	no	no	no
GSE148209	Mus musculus	TXT	no	no	no
GSE143355	Mus musculus	TAR	no	no	no
GSE142233	Mus musculus	TXT	no	no	no
GSE149180	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE149179	Mus musculus	MTX, TSV	no	no	no
GSE149178	Mus musculus	CSV, TXT	no	no	no
GSE149175	Mus musculus	TXT, XLSX	no	no	no
GSE146861	Mus musculus	XLSX	no	no	no
GSE145279	Mus musculus	TAR	no	no	no
GSE149535	Mus musculus	MTX, ROBJ, TSV	no	no	no
GSE137539	Mus musculus; Homo sapiens	TXT	yes	no	yes
GSE131025	Mus musculus	BED, TXT	no	no	no
GSE137540	Mus musculus; Homo sapiens	TXT	no	no	no
GSE122009	Mus musculus	CSV, FA, MTX, TSV, TXT	no	no	no
GSE148405	Mus musculus	CSV	no	no	no
GSE151074	Mus musculus	TXT	no	no	no
GSE151009	Mus musculus	TXT	no	no	no
GSE151007	Mus musculus	TXT	no	no	no
GSE151006	Mus musculus	TXT	no	no	no
GSE150991	Mus musculus	TAR	no	no	no
GSE147135	Mus musculus	MTX, TSV	no	no	no
GSE146783	Mus musculus	TXT	no	no	no
GSE145121	Mus musculus	CSV	no	no	no
GSE149069	Mus musculus	MTX, TSV	no	no	no
GSE149068	Mus musculus	MTX, TSV	no	no	no
GSE123534	Mus musculus	CSV	no	no	no
GSE143997	Mus musculus	H5	no	no	no
GSE150752	Mus musculus	MTX, TSV	no	no	no
GSE146186	Mus musculus	CSV	no	no	no
GSE145929	Mus musculus	H5	no	no	no
GSE145865	Mus musculus	H5	no	no	no
GSE145861	Mus musculus	H5	no	no	no
GSE146637	Mus musculus	MTX, RDS, TSV	no	yes	yes
GSE145973	Mus musculus	CSV	no	no	no
GSE150579	Mus musculus	RDS	no	yes	yes
GSE149992	Mus musculus	BW, NARROWPEAK	no	no	no
GSE149991	Mus musculus	XLSX	no	no	no
GSE142637	Mus musculus; Homo sapiens	MTX, TSV	no	no	no
GSE140348	Mus musculus	CSV, MTX, TSV	yes	no	yes
GSE131847	Mus musculus	TSV	no	no	no
GSE145922	Mus musculus	CSV, MTX, TSV	no	no	no
GSE141532	Mus musculus	TXT	no	no	no
GSE131714	Mus musculus	XLSX	no	no	no
GSE150387	Mus musculus	MTX, TSV	no	no	no
GSE150361	Mus musculus	MTX, TSV	no	no	no
GSE150358	Mus musculus	TSV	yes	no	yes
GSE150166	Mus musculus	CSV, MTX, TSV, XLSX	no	no	no
