id	year	usable	usable2
GSE100033	2017	no	no
GSE100037	2017	no	no
GSE100058	2017	no	no
GSE100106	2017	no	no
GSE100118	2017	no	no
GSE100274	2017	no	no
GSE100320	2017	no	no
GSE100337	2017	no	no
GSE100344	2017	no	no
GSE100384	2017	no	no
GSE100389	2017	no	no
GSE100412	2017	no	no
GSE100426	2017	no	no
GSE100449	2017	no	no
GSE100471	2017	no	no
GSE100474	2017	no	no
GSE100501	2017	no	no
GSE100584	2017	no	no
GSE100586	2017	no	no
GSE100597	2017	no	no
GSE100607	2017	no	no
GSE100618	2017	no	no
GSE100669	2017	yes	meta
GSE100694	2017	no	no
GSE100706	2017	no	no
GSE100725	2017	no	no
GSE100771	2017	no	no
GSE100861	2017	no	no
GSE100866	2017	no	no
GSE100913	2017	no	no
GSE101099	2017	no	no
GSE101181	2017	no	no
GSE101207	2017	no	no
GSE101334	2017	no	no
GSE101340	2017	no	no
GSE101341	2017	no	no
GSE101487	2017	no	no
GSE101518	2017	no	no
GSE101519	2017	no	no
GSE101558	2017	no	no
GSE101601	2017	no	no
GSE101712	2017	no	no
GSE101901	2017	no	no
GSE101984	2017	no	no
GSE102048	2017	no	no
GSE102086	2017	no	no
GSE102090	2017	no	no
GSE102130	2017	no	no
GSE102163	2017	no	no
GSE102299	2017	no	no
GSE102332	2017	no	no
GSE102443	2017	no	no
GSE102456	2017	no	no
GSE102475	2017	no	no
GSE102479	2017	no	no
GSE102580	2017	yes	meta
GSE102591	2017	no	no
GSE102596	2017	no	no
GSE102665	2017	no	no
GSE102698	2017	no	no
GSE102748	2017	no	no
GSE102827	2017	yes	meta
GSE102929	2017	no	no
GSE102934	2017	no	no
GSE102935	2017	no	no
GSE102962	2017	no	no
GSE102990	2017	no	no
GSE103011	2017	no	no
GSE103185	2017	no	no
GSE103221	2017	no	no
GSE103224	2017	no	no
GSE103239	2017	no	no
GSE103275	2017	no	no
GSE103322	2017	no	no
GSE103334	2017	no	no
GSE103354	2017	yes	object
GSE103461	2017	no	no
GSE103518	2017	no	no
GSE103544	2017	no	no
GSE103568	2017	no	no
GSE103574	2017	no	no
GSE103577	2017	no	no
GSE103591	2017	no	no
GSE103618	2017	no	no
GSE103633	2017	no	no
GSE103647	2017	no	no
GSE103692	2017	no	no
GSE103723	2017	no	no
GSE103753	2017	no	no
