id	journal	journal_group
GSE100033	Nat Neurosci	CNS sub
GSE100037	Nat Methods	CNS sub
GSE100058	Cell	CNS
GSE100106	Development	other
GSE100118	Nature	CNS
GSE100274	BMC Biol	BMC
GSE100320	Cell	CNS
GSE100337	Cell	CNS
GSE100344	Sci Adv	CNS sub
GSE100384	Cell	CNS
GSE100389	Protein Cell	other
GSE100412	Life Sci Alliance	other
GSE100426	Cell Rep	CNS sub
GSE100449	Cell	CNS
GSE100471	Science	CNS
GSE100474	Nat Commun	CNS sub
GSE100501	Nat Biotechnol	CNS sub
GSE100584	Front Synaptic Neurosci	other
GSE100586	Front Synaptic Neurosci	other
GSE100597	Cell Rep	CNS sub
GSE100607	Cell Stem Cell	CNS sub
GSE100618	Nat Immunol	CNS sub
GSE100669	Mol Cancer Res	other
GSE100694	Cancer Cell	CNS sub
GSE100706	Kidney Int	other
GSE100771	Nature	CNS
GSE100861	Dev Cell	CNS sub
GSE100866	Nat Methods	CNS sub
GSE100913	J Exp Med	other
GSE101099	Nat Commun	CNS sub
GSE101181	J Biol Chem	other
GSE101207	Cell Rep	CNS sub
GSE101334	Cell	CNS
GSE101340	Cancer Cell	CNS sub
GSE101341	mBio	other
GSE101487	Science	CNS
GSE101518	G3 (Bethesda)	other
GSE101519	G3 (Bethesda)	other
GSE101601	Sci Rep	CNS sub
GSE101712	J Exp Med	other
GSE101901	Nat Commun	CNS sub
GSE101984	PLoS One	PLOS
GSE102048	Proc Natl Acad Sci U S A	other
GSE102086	Dev Cell	CNS sub
GSE102090	Mol Cell	CNS sub
GSE102130	Science	CNS
GSE102163	Genome Biol	BMC
GSE102299	Nature	CNS
GSE102332	Neuron	CNS sub
GSE102443	Nat Commun	CNS sub
GSE102456	EMBO J	other
GSE102475	PLoS Biol	PLOS
GSE102479	Front Endocrinol (Lausanne)	other
GSE102580	Nature	CNS
GSE102591	J Clin Invest	other
GSE102596	J Am Soc Nephrol	other
GSE102665	J Exp Med	other
GSE102698	Cell Syst	CNS sub
GSE102748	J Immunol	other
GSE102827	Nat Neurosci	CNS sub
GSE102934	Genome Res	CSHL
GSE102935	Development	other
GSE102962	Gut	other
GSE102990	Nature	CNS
GSE103011	Sci Rep	CNS sub
GSE103185	Cell	CNS
GSE103221	Mol Cell	CNS sub
GSE103224	Genome Med	BMC
GSE103239	Nat Cell Biol	CNS sub
GSE103275	Nat Commun	CNS sub
GSE103322	Cell	CNS
GSE103334	Cell Rep	CNS sub
GSE103354	Nature	CNS
GSE103461	J Biol Chem	other
GSE103518	Nat Commun	CNS sub
GSE103544	Immunity	CNS sub
GSE103568	Nat Commun	CNS sub
GSE103574	Cell	CNS
GSE103577	Stem Cell Reports	CNS sub
GSE103591	Hepatology	other
GSE103618	Sci Immunol	CNS sub
GSE103633	Science	CNS
GSE103692	PLoS Genet	PLOS
GSE103723	Cell Res	CNS sub
GSE103753	Cell	CNS
GSE103771	Cell	CNS
GSE103772	Cell	CNS
GSE103789	Development	other
GSE103840	Nat Neurosci	CNS sub
GSE103892	Cell Rep	CNS sub
GSE103920	Stem Cell Reports	CNS sub
GSE103970	Nature	CNS
GSE103976	Neuron	CNS sub
GSE104054	Science	CNS
GSE104154	Cell Rep	CNS sub
GSE104158	Nature	CNS
GSE104276	Nature	CNS
GSE104343	Elife	eLife
GSE104379	Cancer Discov	other
GSE104396	Dev Biol	other
GSE104406	Cancer Discov	other
GSE104490	Nat Med	CNS sub
GSE104525	Nat Methods	CNS sub
GSE104556	Sci Data	other
GSE104701	Nat Commun	CNS sub
GSE104782	Ann Rheum Dis	other
GSE104842	PLoS Biol	PLOS
GSE104869	Nat Commun	CNS sub
GSE104899	Nat Neurosci	CNS sub
GSE104985	Cancer Cell	CNS sub
GSE104987	Cancer Cell	CNS sub
GSE105010	Nat Biotechnol	CNS sub
GSE105054	Elife	eLife
GSE105115	Curr Biol	other
GSE105267	EMBO Rep	other
GSE105454	Mol Cell	CNS sub
GSE106118	Cell Rep	CNS sub
GSE106121	Nat Biotechnol	CNS sub
GSE106202	Oncotarget	other
GSE106218	Clin Cancer Res	other
GSE106219	Development	other
GSE106236	Nature	CNS
GSE106245	Cell	CNS
GSE106251	Sci Adv	CNS sub
GSE106268	Science	CNS
GSE106269	Science	CNS
GSE106273	Nat Commun	CNS sub
GSE106391	Nat Commun	CNS sub
GSE106447	Cell Rep	CNS sub
GSE106471	Nat Med	CNS sub
GSE106472	Nat Med	CNS sub
GSE106487	Cell Stem Cell	CNS sub
GSE106510	Cell	CNS
GSE106514	Cell Rep	CNS sub
GSE106544	Sci Immunol	CNS sub
GSE106587	Science	CNS
GSE106636	Nat Commun	CNS sub
GSE106663	Cell	CNS
GSE106676	Dev Cell	CNS sub
GSE106678	Mol Cell	CNS sub
GSE106708	Cell Rep	CNS sub
GSE106872	Nat Genet	CNS sub
GSE106882	Nat Commun	CNS sub
GSE106888	Cell Stem Cell	CNS sub
GSE106960	Proc Natl Acad Sci U S A	other
GSE106973	Blood	other
