id	usable	journal	cite	year	ifs
GSE100033	no	Nat Neurosci	123	2017	19.912
GSE100037	no	Nat Methods	107	2017	26.919
GSE100058	no	Cell	127	2017	31.398
GSE100106	no	Development	20	2017	5.413
GSE100118	no	Nature	159	2017	41.577
GSE100274	no	BMC Biol	20	2017	5.77
GSE100320	no	Cell	56	2017	31.398
GSE100337	no	Cell	78	2017	31.398
GSE100344	no	Sci Adv	0	2017	11.511
GSE100384	no	Cell	70	2017	31.398
GSE100389	no	Protein Cell	6	2017	10.164
GSE100412	no	Life Sci Alliance	17	2017	NA
GSE100426	no	Cell Rep	38	2017	8.032
GSE100449	no	Cell	70	2017	31.398
GSE100471	no	Science	100	2017	41.058
GSE100474	no	Nat Commun	48	2017	12.353
GSE100501	no	Nat Biotechnol	283	2017	35.724
GSE100584	no	Front Synaptic Neurosci	7	2017	NA
GSE100586	no	Front Synaptic Neurosci	7	2017	NA
GSE100597	no	Cell Rep	146	2017	8.032
GSE100607	no	Cell Stem Cell	39	2017	23.29
GSE100618	no	Nat Immunol	83	2017	21.809
GSE100669	yes	Mol Cancer Res	5	2017	NA
GSE100694	no	Cancer Cell	22	2017	22.844
GSE100706	no	Kidney Int	25	2017	8.429
GSE100771	no	Nature	456	2017	41.577
GSE100861	no	Dev Cell	64	2017	9.616
GSE100866	no	Nat Methods	650	2017	26.919
GSE100913	no	J Exp Med	62	2017	10.79
GSE101099	no	Nat Commun	51	2017	12.353
GSE101181	no	J Biol Chem	8	2017	4.01
GSE101207	no	Cell Rep	23	2017	8.032
GSE101334	no	Cell	154	2017	31.398
GSE101340	no	Cancer Cell	65	2017	22.844
GSE101341	no	mBio	72	2017	6.689
GSE101487	no	Science	101	2017	41.058
GSE101518	no	G3 (Bethesda)	34	2017	3.833
GSE101519	no	G3 (Bethesda)	34	2017	3.833
GSE101601	no	Sci Rep	40	2017	4.122
GSE101712	no	J Exp Med	11	2017	10.79
GSE101901	no	Nat Commun	38	2017	12.353
GSE101984	no	PLoS One	60	2017	2.766
GSE102048	no	Proc Natl Acad Sci U S A	63	2017	9.504
GSE102086	no	Dev Cell	24	2017	9.616
GSE102090	no	Mol Cell	51	2017	14.248
GSE102130	no	Science	169	2017	41.058
GSE102163	no	Genome Biol	36	2017	13.214
GSE102299	no	Nature	231	2017	41.577
GSE102332	no	Neuron	22	2017	14.318
GSE102443	no	Nat Commun	22	2017	12.353
GSE102456	no	EMBO J	23	2017	10.557
GSE102475	no	PLoS Biol	65	2017	9.163
GSE102479	no	Front Endocrinol (Lausanne)	10	2017	3.519
GSE102580	yes	Nature	332	2017	41.577
GSE102591	no	J Clin Invest	19	2017	13.251
GSE102596	no	J Am Soc Nephrol	75	2017	9.274
GSE102665	no	J Exp Med	47	2017	10.79
GSE102698	no	Cell Syst	76	2017	8.982
GSE102748	no	J Immunol	5	2017	4.539
GSE102827	yes	Nat Neurosci	187	2017	19.912
GSE102934	no	Genome Res	37	2017	10.101
GSE102935	no	Development	17	2017	5.413
GSE102962	no	Gut	72	2017	17.016
GSE102990	no	Nature	182	2017	41.577
GSE103011	no	Sci Rep	6	2017	4.122
GSE103185	no	Cell	102	2017	31.398
GSE103221	no	Mol Cell	30	2017	14.248
GSE103224	no	Genome Med	60	2017	8.898
GSE103239	no	Nat Cell Biol	51	2017	19.064
GSE103275	no	Nat Commun	75	2017	12.353
GSE103322	no	Cell	539	2017	31.398
GSE103334	no	Cell Rep	235	2017	8.032
GSE103354	yes	Nature	345	2017	41.577
GSE103461	no	J Biol Chem	23	2017	4.01
GSE103518	no	Nat Commun	23	2017	12.353
GSE103544	no	Immunity	112	2017	19.734
GSE103568	no	Nat Commun	60	2017	12.353
GSE103574	no	Cell	362	2017	31.398
GSE103577	no	Stem Cell Reports	9	2017	6.537
GSE103591	no	Hepatology	64	2017	14.079
GSE103618	no	Sci Immunol	26	2017	NA
GSE103633	no	Science	182	2017	41.058
GSE103692	no	PLoS Genet	8	2017	5.54
GSE103723	no	Cell Res	79	2017	15.393
GSE103753	no	Cell	69	2017	31.398
GSE103771	no	Cell	76	2017	31.398
GSE103772	yes	Cell	76	2017	31.398
GSE103789	no	Development	4	2017	5.413
GSE103840	no	Nat Neurosci	135	2017	19.912
GSE103892	no	Cell Rep	101	2017	8.032
GSE103920	no	Stem Cell Reports	30	2017	6.537
GSE103970	yes	Nature	76	2017	41.577
GSE103976	no	Neuron	124	2017	14.318
GSE104054	yes	Science	88	2017	41.058
GSE104154	yes	Cell Rep	146	2017	8.032
GSE104158	no	Nature	185	2017	41.577
GSE104276	no	Nature	231	2017	41.577
GSE104343	no	Elife	11	2017	7.616
GSE104379	no	Cancer Discov	32	2017	24.373
GSE104396	no	Dev Biol	59	2017	3.262
GSE104406	no	Cancer Discov	32	2017	24.373
GSE104490	no	Nat Med	55	2017	32.621
GSE104525	no	Nat Methods	390	2017	26.919
GSE104556	no	Sci Data	12	2017	5.305
GSE104701	no	Nat Commun	57	2017	12.353
GSE104782	yes	Ann Rheum Dis	52	2017	12.35
GSE104842	no	PLoS Biol	14	2017	9.163
GSE104869	no	Nat Commun	35	2017	12.353
GSE104899	no	Nat Neurosci	13	2017	19.912
GSE104985	no	Cancer Cell	53	2017	22.844
GSE104987	no	Cancer Cell	53	2017	22.844
GSE105010	yes	Nat Biotechnol	234	2017	35.724
GSE105054	no	Elife	28	2017	7.616
GSE105115	no	Curr Biol	80	2017	5.72
GSE105267	no	EMBO Rep	14	2017	8.749
GSE105454	no	Mol Cell	66	2017	14.248
GSE106118	no	Cell Rep	95	2017	8.032
GSE106121	no	Nat Biotechnol	192	2017	35.724
GSE106202	no	Oncotarget	7	2017	NA
GSE106218	no	Clin Cancer Res	8	2017	NA
GSE106219	no	Development	11	2017	5.413
GSE106236	no	Nature	134	2017	41.577
GSE106245	no	Cell	129	2017	31.398
GSE106251	no	Sci Adv	0	2017	11.511
GSE106268	no	Science	69	2017	41.058
GSE106269	no	Science	89	2017	41.058
GSE106273	yes	Nat Commun	108	2017	12.353
GSE106391	no	Nat Commun	46	2017	12.353
GSE106447	no	Cell Rep	87	2017	8.032
GSE106471	no	Nat Med	142	2017	32.621
GSE106472	no	Nat Med	143	2017	32.621
GSE106487	no	Cell Stem Cell	92	2017	23.29
GSE106510	no	Cell	116	2017	31.398
GSE106514	no	Cell Rep	25	2017	8.032
GSE106544	no	Sci Immunol	105	2017	NA
GSE106587	no	Science	268	2017	41.058
GSE106636	no	Nat Commun	23	2017	12.353
GSE106663	no	Cell	42	2017	31.398
GSE106676	no	Dev Cell	38	2017	9.616
GSE106678	no	Mol Cell	68	2017	14.248
GSE106708	no	Cell Rep	74	2017	8.032
GSE106872	no	Nat Genet	9	2017	27.125
GSE106882	no	Nat Commun	23	2017	12.353
GSE106888	no	Cell Stem Cell	20	2017	23.29
GSE106960	no	Proc Natl Acad Sci U S A	63	2017	9.504
GSE106973	no	Blood	57	2017	15.132
GSE107115	no	Cell Rep	25	2017	8.032
GSE107122	no	Cell Rep	81	2017	8.032
GSE107152	no	Sci Adv	2	2017	11.511
GSE107153	no	Sci Adv	2	2017	11.511
GSE107185	no	Cell Syst	9	2017	8.982
GSE107451	yes	Cell	229	2017	31.398
GSE107493	no	Life Sci Alliance	18	2017	NA
GSE107517	no	Cell Discov	5	2017	4.462
GSE107527	no	Genes Dev	17	2017	9.527
GSE107552	no	Genome Biol	38	2017	13.214
GSE107585	no	Science	322	2017	41.058
GSE107618	no	PLoS Biol	36	2017	9.163
GSE107632	no	Cell Rep	40	2017	8.032
GSE107644	yes	Cell Res	80	2017	15.393
GSE107646	no	Proc Natl Acad Sci U S A	21	2017	9.504
GSE107653	yes	PLoS Genet	4	2017	5.54
GSE107711	no	Development	7	2017	5.413
GSE107723	no	Genome Biol	8	2017	13.214
GSE107727	no	Blood	57	2017	15.132
GSE107740	no	Nat Commun	18	2017	12.353
GSE107747	no	Sci Rep	19	2017	4.122
GSE107761	no	EMBO J	25	2017	10.557
GSE107794	no	Nat Biotechnol	86	2017	35.724
GSE107864	no	Cell Rep	12	2017	8.032
GSE107873	no	Cell	82	2017	31.398
GSE107874	no	Cell	82	2017	31.398
GSE107909	no	Nature	173	2017	41.577
GSE107910	no	Immunity	67	2017	19.734
GSE107947	no	Cell Syst	78	2017	8.982
GSE108020	no	Am J Hum Genet	40	2017	8.855
