id	usable	usable2	software_author
GSE100033	no	no	author
GSE100037	no	no	author
GSE100058	no	no	author
GSE100106	no	no	none
GSE100118	no	no	none
GSE100274	no	no	author
GSE100320	no	no	none
GSE100337	no	no	author
GSE100344	no	no	none
GSE100384	no	no	none
GSE100389	no	no	none
GSE100412	no	no	none
GSE100426	no	no	author
GSE100449	no	no	none
GSE100471	no	no	author
GSE100474	no	no	none
GSE100501	no	no	none
GSE100584	no	no	author
GSE100586	no	no	author
GSE100597	no	no	author
GSE100607	no	no	author
GSE100618	no	no	author
GSE100669	yes	meta	none
GSE100694	no	no	author
GSE100706	no	no	none
GSE100725	no	no	none
GSE100771	no	no	author
GSE100861	no	no	none
GSE100866	no	no	author
GSE100913	no	no	author
GSE101099	no	no	author
GSE101181	no	no	none
GSE101207	no	no	author
GSE101334	no	no	author
GSE101340	no	no	none
GSE101341	no	no	none
GSE101487	no	no	none
GSE101518	no	no	author
GSE101519	no	no	author
GSE101558	no	no	none
GSE101601	no	no	author
GSE101712	no	no	author
GSE101901	no	no	none
GSE101984	no	no	none
GSE102048	no	no	author
GSE102086	no	no	none
GSE102090	no	no	none
GSE102130	no	no	author
GSE102163	no	no	author
GSE102299	no	no	author
GSE102332	no	no	none
GSE102443	no	no	none
GSE102456	no	no	none
GSE102475	no	no	author
GSE102479	no	no	none
GSE102580	yes	meta	author
GSE102591	no	no	none
GSE102596	no	no	none
GSE102665	no	no	none
GSE102698	no	no	author
GSE102748	no	no	author
GSE102827	yes	meta	author
GSE102929	no	no	none
GSE102934	no	no	author
GSE102935	no	no	none
GSE102962	no	no	author
GSE102990	no	no	author
GSE103011	no	no	none
GSE103185	no	no	none
GSE103221	no	no	author
GSE103224	no	no	author
GSE103239	no	no	none
GSE103275	no	no	author
GSE103322	no	no	author
GSE103334	no	no	author
GSE103354	yes	object	author
GSE103461	no	no	none
GSE103518	no	no	author
GSE103544	no	no	author
GSE103568	no	no	author
GSE103574	no	no	author
GSE103577	no	no	none
GSE103591	no	no	author
GSE103618	no	no	none
GSE103633	no	no	author
GSE103647	no	no	none
GSE103692	no	no	author
GSE103723	no	no	author
GSE103753	no	no	none
GSE103771	no	no	author
GSE103772	yes	meta	author
GSE103789	no	no	none
GSE103840	no	no	author
GSE103892	no	no	author
GSE103920	no	no	none
GSE103970	yes	meta	author
GSE103976	no	no	none
GSE104054	yes	meta	author
GSE104154	yes	meta	none
GSE104158	no	no	author
GSE104276	no	no	none
GSE104343	no	no	none
GSE104379	no	no	author
GSE104396	no	no	author
GSE104406	no	no	author
GSE104478	no	no	none
GSE104490	no	no	none
GSE104497	no	no	none
GSE104525	no	no	author
GSE104556	no	no	none
GSE104701	no	no	none
GSE104782	yes	meta	none
GSE104842	no	no	none
GSE104869	no	no	author
GSE104899	no	no	none
GSE104985	no	no	author
GSE104987	no	no	author
GSE105010	yes	object	author
GSE105054	no	no	author
GSE105115	no	no	author
GSE105119	no	no	none
GSE105211	no	no	none
GSE105267	no	no	none
GSE105454	no	no	author
GSE106078	no	no	none
GSE106118	no	no	none
GSE106121	no	no	none
GSE106202	no	no	none
GSE106218	no	no	author
GSE106219	no	no	author
GSE106236	no	no	none
GSE106245	no	no	author
GSE106251	no	no	none
GSE106268	no	no	author
GSE106269	no	no	author
GSE106273	yes	meta	author
GSE106391	no	no	none
GSE106447	no	no	author
GSE106471	no	no	none
GSE106472	no	no	none
GSE106487	no	no	author
GSE106489	no	no	none
GSE106510	no	no	author
GSE106514	no	no	none
GSE106544	no	no	none
GSE106587	no	no	author
GSE106636	no	no	none
GSE106663	no	no	none
GSE106676	no	no	author
GSE106678	no	no	author
GSE106708	no	no	author
GSE106850	no	no	none
GSE106856	no	no	none
GSE106872	no	no	none
GSE106882	no	no	none
GSE106888	no	no	author
GSE106960	no	no	none
GSE106973	no	no	author
GSE107115	no	no	author
GSE107122	no	no	author
GSE107152	no	no	author
GSE107153	no	no	author
GSE107185	no	no	author
GSE107220	no	no	none
GSE107451	yes	meta	author
GSE107493	no	no	author
GSE107517	no	no	author
GSE107527	no	no	none
GSE107552	no	no	author
GSE107585	no	no	author
GSE107618	no	no	author
GSE107632	no	no	none
GSE107644	yes	meta	none
GSE107646	no	no	author
GSE107653	yes	meta	none
GSE107711	no	no	none
GSE107723	no	no	author
GSE107727	no	no	author
GSE107740	no	no	none
GSE107747	no	no	none
GSE107761	no	no	author
GSE107771	no	no	none
GSE107794	no	no	author
GSE107864	no	no	none
GSE107873	no	no	author
GSE107874	no	no	author
GSE107909	no	no	none
GSE107910	no	no	author
GSE107947	no	no	author
GSE108020	no	no	none
GSE108041	no	no	author
GSE108067	no	no	none
GSE108097	no	no	author
GSE108108	no	no	author
GSE108129	no	no	author
GSE108155	no	no	author
GSE108222	no	no	none
GSE108230	no	no	none
GSE108233	no	no	none
GSE108261	no	no	none
GSE108275	no	no	author
GSE108287	no	no	none
GSE108288	no	no	none
GSE108291	no	no	author
GSE108313	no	no	author
GSE108359	no	no	author
GSE108378	no	no	none
GSE108397	no	no	none
GSE108416	no	no	none
GSE108427	no	no	none
GSE108443	no	no	author
GSE108444	no	no	author
GSE108463	no	no	none
GSE108478	no	no	author
GSE108546	no	no	author
GSE108556	no	no	none
GSE108561	no	no	author
GSE108571	no	no	none
GSE108578	no	no	none
GSE108612	no	no	none
GSE108653	no	no	none
GSE108677	no	no	none
GSE108679	no	no	none
GSE108699	yes	meta	author
GSE108709	no	no	none
GSE108761	no	no	author
GSE108775	no	no	author
GSE108788	no	no	author
GSE108811	no	no	none
GSE108849	no	no	author
