id	is_sc	called_usable	correct_call	has_type
GSE145927	yes	yes	yes	yes
GSE142113	yes	no	yes	"NA"
GSE123585	yes	no	yes	"NA"
GSE122403	yes	no	yes	"NA"
GSE124880	yes	no	yes	"NA"
GSE59739	yes	no	yes	"NA"
GSE115299	yes	no	yes	"NA"
GSE137545	yes	no	yes	"NA"
GSE123119	yes	yes	no	"NA"
GSE126159	no	no	"NA"	"NA"
GSE137116	yes	yes	yes	yes
GSE96104	yes	no	yes	"NA"
GSE109979	yes	no	yes	"NA"
GSE130875	yes	yes	yes	yes
GSE146799	yes	no	yes	"NA"
GSE143607	yes	yes	yes	no
GSE97727	yes	no	yes	"NA"
GSE134571	yes	yes	yes	yes
GSE119324	no	no	"NA"	"NA"
GSE73381	yes	no	no	"NA"
GSE114802	yes	no	yes	"NA"
GSE125881	yes	yes	yes	yes
GSE119969	yes	no	yes	"NA"
GSE120974	yes	no	yes	"NA"
GSE136148	yes	no	yes	"NA"
GSE115189	yes	no	yes	"NA"
GSE129845	yes	no	yes	"NA"
GSE66694	yes	no	no	"NA"
GSE118599	yes	no	yes	"NA"
GSE97390	yes	no	no	"NA"
GSE126480	yes	no	yes	"NA"
GSE112711	yes	no	yes	"NA"
GSE126111	yes	no	yes	"NA"
GSE99795	yes	no	yes	"NA"
GSE61533	yes	no	yes	"NA"
GSE108761	yes	no	yes	"NA"
GSE98734	yes	yes	yes	yes
GSE143526	yes	yes	yes	yes
GSE141928	yes	no	yes	"NA"
GSE86104	no	no	"NA"	"NA"
GSE126042	yes	no	yes	"NA"
GSE118245	yes	no	yes	"NA"
GSE138902	yes	no	yes	"NA"
GSE85241	yes	no	yes	"NA"
GSE127202	yes	no	yes	"NA"
GSE139829	yes	no	yes	"NA"
GSE145163	no	no	"NA"	"NA"
GSE75790	yes	no	yes	"NA"
GSE154259	yes	no	yes	"NA"
GSE116514	yes	no	yes	"NA"
GSE120180	yes	no	yes	"NA"
GSE115218	yes	no	yes	"NA"
GSE108155	yes	no	yes	"NA"
GSE143221	yes	no	yes	"NA"
GSE103967	yes	yes	no	"NA"
GSE127803	yes	no	yes	"NA"
GSE121386	yes	no	yes	"NA"
GSE110499	yes	no	yes	"NA"
GSE78319	yes	no	no	"NA"
GSE149569	no	no	"NA"	"NA"
GSE121265	yes	yes	yes	yes
GSE134479	yes	no	yes	"NA"
GSE148212	yes	no	yes	"NA"
GSE115501	yes	no	yes	"NA"
GSE137476	yes	no	yes	"NA"
GSE113293	yes	no	yes	"NA"
GSE100866	yes	no	yes	"NA"
GSE98131	yes	no	yes	"NA"
GSE103334	yes	no	yes	"NA"
GSE99909	no	no	"NA"	"NA"
GSE138381	yes	no	yes	"NA"
GSE154692	yes	yes	yes	yes
GSE126783	yes	no	yes	"NA"
GSE131800	yes	no	yes	"NA"
GSE102580	yes	yes	yes	yes
GSE154159	yes	no	no	"NA"
GSE133230	yes	no	no	"NA"
GSE129570	no	no	"NA"	"NA"
GSE148882	yes	no	yes	"NA"
GSE100449	yes	no	yes	"NA"
GSE127454	yes	no	no	"NA"
GSE69926	yes	no	yes	"NA"
GSE154826	yes	yes	no	"NA"
GSE126707	yes	no	yes	"NA"
GSE85755	yes	no	yes	"NA"
GSE86031	yes	no	yes	"NA"
GSE102698	yes	no	yes	"NA"
GSE135296	yes	yes	yes	yes
